Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0; GTB7.1; SLCC1; .NET CLR 2.0.50727; Media Center PC 5.0; InfoPath.2; .NET CLR 3.5.30729; .NET4.0C; .NET CLR 3.0.30729; AskTbFWV5/5.12.2.16749; 978803803)|
Mozilla/5.0 (Linux; U; Android 2.2.2; fr-fr; ViewPad7 Build/FRG83G) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|
Mozilla/5.0 (Linux; U; Android 2.2.2; en-us; ZTE-C N600+ Build/FRF91) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www-ccpp.tcl-ta.com/files/ALCATEL_one_touch_908.xml
Mozilla/5.0 (Linux; U; Android 2.3.3; en-vn; HTC_WildfireS_A510e Build/GRI40) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www.htcmms.com.tw/Android/Common/PG76/ua-profile.xml
Mozilla/5.0 (Linux; U; Android 2.3.5; ko-kr; SHW-M250K Build/MOG) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|
Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_3_3 like Mac OS X; ca-es) AppleWebKit/533.17.9 (KHTML, like Gecko) Mobile/8J2|
Nokia1680c-2b_CMCC/2.0 (06.22) Profile/MIDP-2.1 Configuration/CLDC-1.1|http://nds1.nds.nokia.com/uaprof/N1680c-2r100.xml
Dalvik/1.2.0 (Linux; U; Android 2.2.1; Vodafone 858 Build/Vodafone858C02B619)|http://gsm.lge.com/html/gsm/P990-M3-D2.xml
SAMSUNG-E2210B/E2210BPEIJ1 UP.Browser/6.2.3.3.c.1.101 (GUI) MMP/2.0|
Mozilla/5.0 (iPod touch; U; CPU iPhone OS 4_3_2 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.1;FBBV/4010.0;FBDV/iPod4,1;FBMD/iPod touch;FBSN/iPhone OS;FBSV/4.3.2;FBSS/2; FBCR/;FBID/phone;FBLC/en_US;FBSF/2.0]|
Dalvik/1.2.0 (Linux; U; Android 2.2; Eken M009s Build/Android 2.2 Froyo)|
Dalvik/1.4.0 (Linux; U; Android 2.3; MID8024 Build/GINGERBREAD)|
Opera/9.80 (J2ME/MIDP; Opera Mini/4.2.18149/26.984; U; ru) Presto/2.8.119 Version/10.54|
Mozilla/5.0 (Linux; U; Android 2.3.3; sv-se; Desire_A8181 Build/GRI40) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www.htcmms.com.tw/Android/Common/PG88/ua-profile.xml
Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_3 like Mac OS X; en-gb) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/5.0.2 Mobile/8J2 Safari/6533.18.5|
Dalvik/1.4.0 (Linux; U; Android 2.3.4; Racer Build/FRG83)|http://www.htcmms.com.tw/Android/Common/PG863/ua-profile.xml
BlackBerry8520/5.0.0.1079 Profile/MIDP-2.1 Configuration/CLDC-1.1 VendorID/132|http://www.blackberry.net/go/mobile/profiles/uaprof/8520_80211g/4.6.1.rdf
Mozilla/5.0 (Linux; U; Android 2.1-update1; en-au; HTC Liberty Build/ERE27) AppleWebKit/525.10+ (KHTML, like Gecko) Version/3.0.4 Mobile Safari/523.12.2 (AdMob-ANDROID-20091123)|
Mozilla/5.0 (Linux; U; Android 2.3.5; ko-; HUMBLE by Danalo1979 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|
Opera/9.80 (J2ME/MIDP; Opera Mini/4.2.16320/26.984; U; it) Presto/2.8.119 Version/10.54|
Mozilla/5.0 (Linux; U; Android 2.3.4; ja-jp; DROID3 Build/5.5.1_84_D3G-55) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www.htcmms.com.tw/Android/Common/PG863/ua-profile.xml
Mozilla/5.0 (Linux; U; Android 2.2.1; en-jp; S31HT Build/FRG83) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://gsm.lge.com/html/gsm/P990-M3-D2.xml
Mozilla/5.0 (Linux; U; Android 2.3.3; es-es; HTC ChaCha A810e Build/GRI40) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|
NOKIAE5-00/UC Browser7.9.0.102/28/355/UCWEB|http://nds1.nds.nokia.com/uaprof/NE5-00r100.xml
Mozilla/4.0 (compatible; MSIE 7.0; Windows Phone OS 7.0; Trident/3.1; IEMobile/7.0; FujitsuToshibaMobileCommun; IS12T; KDDI)|
Dalvik/1.4.0 (Linux; U; Android 2.3.4; X10i Build/3.0.1.G.0.75)|http://wap.sonyericsson.com/UAprof/X10iR101.xml
Dalvik/1.2.0 (Linux; U; Android 2.2.2; msm7227_ffa Build/I700T_P4_11A_FLXX_FT_R_0_01_1010_110527)|http://www-ccpp.tcl-ta.com/files/ALCATEL_one_touch_908.xml
Opera/9.80 (Android 2.3.7; Linux; Opera Tablet/ADR-1110071847; U; en) Presto/2.9.201 Version/11.50|
SAMSUNG-S3600/S3600JVIF2 NetFront/3.4 Profile/MIDP-2.0 Configuration/CLDC-1.1|http://wap.samsungmobile.com/uaprof/S3600.xml
Mozilla/5.0 (Linux; U; Android 2.3.4; zh-tw; HTC HD2 Build/FRF91) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|
Dalvik/1.4.0 (Linux; U; Android 2.3.5; Liberty Build/GRI40)|
Mozilla/5.0 (iPhone; U; CPU iPhone OS 5_0 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPhone4,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/5.0;FBSS/2; FBCR/AT|
Opera/9.80 (Android 2.2; Linux; Opera Mobi/ADR-1110071847; U; en-GB) Presto/2.9.201 Version/11.50|
Mozilla/5.0 (Linux; U; Android 2.3.4; de-de; HTC_Sensation_Z710e Build/GRJ22) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www.htcmms.com.tw/Android/Common/PG863/ua-profile.xml
Dalvik/1.4.0 (Linux; U; Android 2.3.4; Thunderbolt Build/GRJ22)|http://www.htcmms.com.tw/Android/Common/PG863/ua-profile.xml
Dalvik/1.4.0 (Linux; U; Android 2.3.7; Evo Build/GRJ90)|
Dalvik/1.1.0 (Linux; U; Android 2.1-update1-1.0.0; rk2818sdk Build/ECLAIR)|
Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; HTC_IncredibleS_S710e Build/GRI40) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|
Opera/9.80 (J2ME/MIDP; Opera Mini/4.2.21465/26.984; U; id) Presto/2.8.119 Version/10.54|
Mozilla/5.0 (Linux; U; Android 2.3.4; en-us; SCH-R730 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www.htcmms.com.tw/Android/Common/PG863/ua-profile.xml
Blackberry 9700/5.0.0.1014 Profile/MIDP-2.1 Configuration/CLDC-1.1 VendorID/613|http://www.blackberry.net/go/mobile/profiles/uaprof/9700_umts/5.0.0.rdf
Mozilla/5.0 (iPad; U; CPU iPhone OS 5_0 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPad1,1;FBMD/iPad;FBSN/iPhone OS;FBSV/5.0;FBSS/1; FBCR/;FBID/tablet;FBLC/en_US;FBSF/1.0]|
KCI-S1350/ UP.Browser/7.2.7.2.593 (GUI) MMP/2.0|
Dalvik/1.4.0 (Linux; U; Android 2.3.4; LG-P500 Build/GRJ22)|http://www.htcmms.com.tw/Android/Common/PG863/ua-profile.xml
Mozilla/5.0 (iPad; CPU OS 5_0 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Mobile/9A5313e Safari/ Sleipnir/1.4.6m|
Dalvik/1.2.0 (Linux; U; Android 2.2.2; A953 Build/MILA2_U6_3.25.0)|http://www-ccpp.tcl-ta.com/files/ALCATEL_one_touch_908.xml
Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_3_3 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPhone3,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/4.3.3;FBSS/2; FBCR/bmobile;FBID/phone;FBLC/en_US;FBSF/2.0]|
Opera/9.80 (J2ME/MIDP; Opera Mini/5.22371/26.984; U; en) Presto/2.8.119 Version/10.5454|
Opera/9.80 (J2ME/MIDP; Opera Mini/5.22371/26.984; U; es) Presto/2.8.119 Version/10.5454|
SAMSUNG-SGH-A667/A667UCKH1; Mozilla/5.0 (Profile/MIDP-2.0 Configuration/CLDC-1.1; Opera Mini/att/4.2.20822; U; en-US) Opera 9.50|
Dalvik/1.4.0 (Linux; U; Android 2.3.7; U20i Build/GingerDX Pro)|
Opera/9.80 (J2ME/MIDP; Opera Mini/5.18487/26.984; U; es) Presto/2.8.119 Version/10.5454|
Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_3_2 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPhone2,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/4.3.2;FBSS/1; FBCR/AT&T;FBID/phone;FBLC/en_US;FBSF/1.0]|
Mozilla/5.0 (Linux; U; Android 2.3.6; en-us; SAMSUNG-SGH-I577 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|
Mozilla/5.0 (Linux; U; Android 2.3.5; de-de; MEDION LIFE P4310 Build/GRJ22) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|
Dalvik/1.2.0 (Linux; U; Android 2.2; GT-I5510T Build/FROYO)|
Mozilla/5.0 (jAiLbr0ken; U; CPU iPhone OS 4_2_1 like Mac OS X; en-us) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/5.0.2 Mobile/8C148 Safari/6533.18.5|
Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_0_1 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPhone3,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/4.0.1;FBSS/2; FBCR/AT&T;FBID/phone;FBLC/en_US;FBSF/2.0]|
Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_0_1 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPhone2,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/4.0.1;FBSS/1; FBCR/Carrier;FBID/phone;FBLC/en_US;FBSF/1.0]|
BlackBerry9000/5.0.0.314 Profile/MIDP-2.1 Configuration/CLDC-1.1 VendorID/214|http://www.blackberry.net/go/mobile/profiles/uaprof/9000/4.6.0.rdf
Dalvik/1.2.0 (Linux; U; Android 2.2.1; GT-P1000N Build/FROYO)|http://wap.samsungmobile.com/uaprof/GT-P1000.xml
Mozilla/5.0 (Linux; U; Android 2.2.2; en-us; SCH-M828C[9375247748] Build/FROYO) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www-ccpp.tcl-ta.com/files/ALCATEL_one_touch_908.xml
Mozilla/5.0 (Linux; U; Android 2.3.5; ko-kr; LG-LU6200 Build/GRJ90) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|
Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_2_1 like Mac OS X; de_DE) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPhone3,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/4.2.1;FBSS/2; FBCR/vfde;FBID/phone;FBLC/de_DE;FBSF/2.0]|
Mozilla/5.0 (Linux; U; Android 2.2.2; en-us; SCH-M828C[3095400160] Build/FROYO) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www-ccpp.tcl-ta.com/files/ALCATEL_one_touch_908.xml
Blackberry 9700/6.0.0.448 Profile/MIDP-2.1 Configuration/CLDC-1.1 VendorID/121|http://www.blackberry.net/go/mobile/profiles/uaprof/9700_umts/5.0.0.rdf
Dalvik/1.4.0 (Linux; U; Android 2.3.5; GT-I9100 Build/GRJ22)|
MQQBrowser/2.0 (NokiaN8-00;SymbianOS/9.1 Series60/3.0)|http://nds1.nds.nokia.com/uaprof/NN8-00r100-3G.xml
SAMSUNG-GT-B3210/1.0 Release/10.19.2009 Browser/NetFront3.5 Profile/MIDP-2.0 Configuration/CLDC-1.1/*MzU4NjI4MDM0MTc1NDM2|http://wap.samsungmobile.com/uaprof/GT-B3210UAProf.xml
BlackBerry9530/5.0.0.591 Profile/MIDP-2.1 Configuration/CLDC-1.1 VendorID/-1|http://www.blackberry.net/go/mobile/profiles/uaprof/9530_umts/4.7.0.rdf
Dalvik/1.4.0 (Linux; U; Android 2.3.7; HTC Desire CDMA Build/GRI40)|http://uaprof.vtext.com/adr62k/adr62k.xml
Dalvik/1.2.0 (Linux; U; Android 2.2; LG-LU3700 Build/FRF91)|
Dalvik/1.4.0 (Linux; U; Android 2.3.5; DROID2 Build/VZW)|
Blackberry 9700/6.0.0.666 Profile/MIDP-2.1 Configuration/CLDC-1.1 VendorID/107|http://www.blackberry.net/go/mobile/profiles/uaprof/9700_umts/5.0.0.rdf
BlackBerry8520/5.0.0.1067 Profile/MIDP-2.1 Configuration/CLDC-1.1 VendorID/480|http://www.blackberry.net/go/mobile/profiles/uaprof/8520_80211g/4.6.1.rdf
Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_1 like Mac OS X; ar_AR) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPhone2,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/4.1;FBSS/1; FBCR/Carrier;FBID/phone;FBLC/ar_AR;FBSF/1.0]|
Mozilla/5.0 (BlackBerry; U; BlackBerry 9670; es) AppleWebKit/534.1  (KHTML, like Gecko) Version/6.0.0.248 Mobile Safari/534.1|
Mozilla/5.0 (Linux; U; Android 2.3.5; en-us; SAMSUNG-SGH-I777 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|
BlackBerry9700/5.0.0.979 Profile/MIDP-2.1 Configuration/CLDC-1.1 VendorID/174|http://www.blackberry.net/go/mobile/profiles/uaprof/9700_umts/5.0.0.rdf
Mozilla/5.0 (Linux; U; Android 2.1-update1; es-ec; SonyEricssonE10i-o Build/2.1.1.A.0.6) AppleWebKit/530.17 (KHTML, like Gecko) Version/4.0 Mobile Safari/530.17|http://wap.sonyericsson.com/UAprof/E10iR201.xml
Dalvik/1.4.0 (Linux; U; Android 2.3.4; DROID2 Build/STAB)|
Dalvik/1.4.0 (Linux; U; Android 2.3.3; DROID2 GLOBAL Build/4.5.1_57_D2G-38)|
Mozilla/5.0 (iPhone; U; CPU iPhone OS 5_0 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPhone2,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/5.0;FBSS/1; FBCR/vodafoneUK;FBID/phone;FBLC/en_US;FBSF/1.0]|
Dalvik/1.4.0 (Linux; U; Android 2.3.3; R800i Build/3.0.1.A.0.115)|
Mozilla/5.0 (BlackBerry; U; BlackBerry 9900; en) AppleWebKit/534.11+ (KHTML, like Gecko) Version/7.0.0.424 Mobile Safari/534.11+|
BlackBerry9000/4.6.0.247 Profile/MIDP-2.0 Configuration/CLDC-1.1 VendorID/299|http://www.blackberry.net/go/mobile/profiles/uaprof/9000/4.6.0.rdf
Mozilla/5.0 (Linux; U; Android 2.2.2; en-us; SCH-M828C[6084333669] Build/FROYO) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www-ccpp.tcl-ta.com/files/ALCATEL_one_touch_908.xml
Dalvik/1.4.0 (Linux; U; Android 2.3.5; BASE Lutea 2 Build/GRJ22)|
Mozilla/5.0 (Linux; U; Android 2.2.2; en-us; SCH-M828C[8135033539] Build/FROYO) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www-ccpp.tcl-ta.com/files/ALCATEL_one_touch_908.xml
Opera/9.80 (J2ME/MIDP; Opera Mini/5.1.22296/26.984; U; es) Presto/2.8.119 Version/10.54|
Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_3_3 like Mac OS X; de_DE) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPhone3,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/4.3.3;FBSS/2; FBCR/Carrier;FBID/phone;FBLC/de_DE;FBSF/2.0]|
Mozilla/5.0 (Series40; NokiaC3-01/05.65; Profile/MIDP-2.1 Configuration/CLDC-1.1) Gecko/20100401 S40OviBrowser/1.0.2.26.6|http://nds1.nds.nokia.com/uaprof/NokiaC3-00r100.xml
Mozilla/5.0 (Linux; U; Android 2.1-update1; fr-fr; U20i Build/2.0.2.A.0.24) AppleWebKit/525.10+ (KHTML, like Gecko) Version/3.0.4 Mobile Safari/523.12.2 (AdMob-ANDROID-20091123)|http://wap.sonyericsson.com/UAprof/U20iR201.xml
Mozilla/5.0 (Linux; U; Android 2.3.3; de-li; SonyEricssonLT15iv Build/4.0.A.2.368) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|
Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_3_5 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPhone3,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/4.3.5;FBSS/2; FBCR/Telstra;FBID/phone;FBLC/en_US;FBSF/2.0]|
Mozilla/5.0 (Linux; U; Android 2.2; en-us; CFW-MID7024 Build/FRF91) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|
Opera/9.80 (iPhone; Opera Mini/6.13548/26.984; U; de) Presto/2.8.119 Version/10.54|
Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_3_1 like Mac OS X; en_GB) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/3.5a;FBBV/3500;FBDV/iPhone3,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/4.3.1;FBSS/2; FBCR/T-MobileUK;FBID/phone;FBLC/en_GB]|
Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_3_3 like Mac OS X; de_DE) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPhone3,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/4.3.3;FBSS/2; FBCR/Telekom.de;FBID/phone;FBLC/de_DE;FBSF/2.0]|
Mozilla/5.0 (Linux; U; Android 2.2.2; en-us; SCH-M828C[3373773858] Build/FROYO) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www-ccpp.tcl-ta.com/files/ALCATEL_one_touch_908.xml
Mozilla/5.0 (Linux; U; Android 2.3.5; pl-pl; MB525 Build/GRJ90) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://uaprof.motorola.com/phoneconfig/MotoMB525/profile/MotoMB525.rdf
Blackberry 9800/6.0.0.570 Profile/MIDP-2.1 Configuration/CLDC-1.1 VendorID/600|http://www.blackberry.net/go/mobile/profiles/uaprof/9800_edge/6.0.0.rdf
NokiaC6-01/UC Browser7.9.0.102/50/352/UCWEB|http://nds.nokia.com/uaprof/NC6-01r100.xml
Dalvik/1.2.0 (Linux; U; Android 2.2; ZTE-BLADE Build/OPEN-MARKET-V1.0)|http://www.zte.com.cn/mobile/uaprof/ZTE-BLADE.xml
Mozilla/5.0 (Linux; U; Android 2.2.2; en-us; SCH-M828C[2604424184] Build/FROYO) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www-ccpp.tcl-ta.com/files/ALCATEL_one_touch_908.xml
Mozilla/5.0 (Linux; U; Android 2.2.2; en-us; SCH-M828C[6092542919] Build/FROYO) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www-ccpp.tcl-ta.com/files/ALCATEL_one_touch_908.xml
Opera/9.80 (iPhone; Opera Mini/6.1.15738/26.984; U; en) Presto/2.8.119 Version/10.54.544|
BlackBerry9700/5.0.0.593 Profile/MIDP-2.1 Configuration/CLDC-1.1 VendorID/310|http://www.blackberry.net/go/mobile/profiles/uaprof/9700_umts/5.0.0.rdf
Opera/9.80 (Android 2.3.4; Linux; Opera Mobi/ADR-1110071847; U; fr) Presto/2.9.201 Version/11.50|http://www.htcmms.com.tw/Android/Common/PG863/ua-profile.xml
Dalvik/1.4.0 (Linux; U; Android 2.3.3; CLIQ XT Build/GRH78)|
Mozilla/5.0 (Linux; U; Android 2.1-update1; fr-fr; X10i Build/2.1.A.0.435) AppleWebKit/525.10+ (KHTML, like Gecko) Version/3.0.4 Mobile Safari/523.12.2 (AdMob-ANDROID-20091123)|http://wap.sonyericsson.com/UAprof/X10iR201.xml
Opera/9.80 (S60; SymbOS; Opera Mobi/SYB-1106291583; U; lt) Presto/2.8.149 Version/11.10|
Mozilla/5.0 (Linux; U; Android 2.1-update1; vi-vn; SonyEricssonU20a Build/2.1.1.A.0.6) AppleWebKit/530.17 (KHTML, like Gecko) Version/4.0 Mobile Safari/530.17|http://wap.sonyericsson.com/UAprof/U20aR201.xml
Opera/9.80 (J2ME/MIDP; Opera Mini/4.2.13918/26.984; U; en) Presto/2.8.119 Version/10.54|
Mozilla/5.0 (Linux; U; Android 2.3.5; en-us; LG-LW690 Build/GRJ90-LG-LW690) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|
Mozilla/5.0 (Linux; U; Android 2.2.2; en-us; SCH-M828C[3362891895] Build/FROYO) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www-ccpp.tcl-ta.com/files/ALCATEL_one_touch_908.xml
Dalvik/1.4.0 (Linux; U; Android 2.3.5; HTC Desire HD Build/MIUI-2.3.5b)|http://uaprof.vtext.com/adr62k/adr62k.xml
SAMSUNG-SGH-A817/A817UCKH1; Mozilla/5.0 (Profile/MIDP-2.0 Configuration/CLDC-1.1; Opera Mini/att/4.2|
Mozilla/5.0 (Linux; U; Android 2.2.2; en-us; SCH-M828C[5413311050] Build/FROYO) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www-ccpp.tcl-ta.com/files/ALCATEL_one_touch_908.xml
Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_3_1 like Mac OS X; en-us) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/5.0.2 Mobile/8H7 Safari/6533.18.5|
Mozilla/5.0 (Abdullah; U; CPU iPhone OS 4_2_1 like Mac OS X; de-de) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/5.0.2 Mobile/8C148 Safari/6533.18.5|
Mozilla/5.0 (Linux; U; Android 2.2; fr-fr; E140 Build/Froyo) AppleWebKit/525.10+ (KHTML, like Gecko) Version/3.0.4 Mobile Safari/523.12.2 (AdMob-ANDROID-20091123)|
Mozilla/5.0 (Linux; U; Android 2.2.2; en-us; SCH-M828C[6142904496] Build/FROYO) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www-ccpp.tcl-ta.com/files/ALCATEL_one_touch_908.xml
LG-GT350/V100 Obigo/WAP2.0 Profile/MIDP-2.1 Configuration/CLDC-1.1 UNTRUSTED/1.0 lg-gt350/UC Browser7.9.0.102/69/352|http://gsm.lge.com/html/gsm/LG-GT350.xml
Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_3_5 like Mac OS X; fr_FR) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPhone3,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/4.3.5;FBSS/2; FBCR/Rogers;FBID/phone;FBLC/fr_FR;FBSF/2.0]|
Opera/9.80 (J2ME/MIDP; Opera Mini/4.2.20457/26.984; U; id) Presto/2.8.119 Version/10.54|
Mozilla/5.0 (Linux; U; Android 2.2.2; en-za; DroniX-0.5 Build/HuaweiU8180) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www-ccpp.tcl-ta.com/files/ALCATEL_one_touch_908.xml
Nokia6500s-1/2.0 (09.40) Profile/MIDP-2.1 Configuration/CLDC-1.1 nokia6500s-1/UC Browser7.9.0.102/69/350 UNTRUSTED/1.0|http://nds1.nds.nokia.com/uaprof/N6500sr100.xml
Mozilla/5.0 (Kool-Breeze; U; CPU iPhone OS 4_2_6 like Mac OS X; en-us) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/5.0.2 Mobile/8E200 Safari/6533.18.5|
Apple-iPad1C1/901.334|
Mozilla/5.0 (Linux; U; Android 2.1-update1; sv-se; ZTE-BLADE Build/ERE27) AppleWebKit/525.10+ (KHTML, like Gecko) Version/3.0.4 Mobile Safari/523.12.2 (AdMob-ANDROID-20091123)|http://www.zte.com.cn/mobile/uaprof/ZTE-BLADE.xml
Mozilla/5.0 (Linux; U; Android 2.3.7; en-us; MB860 Build/4.5.91) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|
Mozilla/5.0 (iPod touch; U; CPU iPhone OS 4_2_1 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPod2,1;FBMD/iPod touch;FBSN/iPhone OS;FBSV/4.2.1;FBSS/1; FBCR/;FBID/phone;FBLC/en_US;FBSF/1.0]|
Mozilla/5.0 (Linux; U; Android 2.2.2; ar-kw; u8800 Build/HuaweiU8800) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www-ccpp.tcl-ta.com/files/ALCATEL_one_touch_908.xml
Mozilla/5.0 (Linux; U; Android 2.2; fr-be; Slidepad Build/FRF91) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|
Mozilla/5.0 (Linux; U; Android 2.3.7; en-us; LG-P500 Build/GRI40) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|
Mozilla/5.0 (Linux; U; Android 2.3.3; en-za; HTC HD2 Build/GRI54) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|
Dalvik/1.1.0 (Linux; U; Android 2.1-update1; MB511 Build/RUTLA_U3_00.53.0)|
